DATE	ID	Description
27/05/2003	2115	להזה ר נכ וותי פעמי ים לא לתק ן ל לא תשלום מראש!
29/06/2003	3121	צ'ק חזר שולם לא ב מלואו אחר י ח צי שנה והמון טלפונים
30/06/2003	3439	יצא בהרג שה ש שילם יותר מדי למר ות מחיר זול במיוחד
16/07/2003	3472	להזה ר מא ד על ולה ל סבך א ותי  
22/07/2003	3474	"לקוח ה מא ד קש ה,ברר נית ו דורש ת ה נחות!"
23/07/2003	3475	"הנחו ת גד ולות ,רוצה לראו ת את הח לק,כמה עולה החלק וכו'"
29/08/2003	3520	"לקוח מאד חשד ן ובר רן,או לי ג ם מ צפה למחירים נמוכים."
01/09/2003	1769	לקוח מאד קשה התוו כח על מחי ר מ כסה פתח גלבו.
02/10/2003	3560	זהיר ות! חושב שיוד ע עלו יות דור ש מחיר נמוך והנחות.
02/10/2003	3561	"זהיר ות! רצה הצעת מחיר בכל מקר ה,טען שהמחיר יקר."
29/10/2003	3598	תמיד רוצ ה הנ חות    
31/10/2003	3352	גרעי ן תו רני שואל הרבה שאלו ת 
19/11/2003	166	בעלה תמי ד מת ווכח על המ חיר  
10/12/2003	114	לקוח מאד קשה ומתו כח   
11/12/2003	3361	"לקוח מאד קשה אינו מאמי ן,בי קש לפרק מגהץ לאחר תיקון"
15/12/2003	3633	"התוו כח ר בות על המ חיר,ל א רצ ה ל שלם מע""מ."
18/12/2003	2925	זהיר ות!! ! חש דן מא ד טען שרי מינ ו אותו לגבי פילטרים
19/12/2003	2651	לקוח מאד בעי יתי - לא לק בל מ כשי רים לתיקון בשום אופן!
29/12/2003	3640	לקוח בעי יתי לקח ש ואב ע ם הר בה טענות.
21/01/2004	1003	"לקוח מאד קשה ,תמיד מתוו כח ע ל מ חיר."
28/01/2004	3712	"בעלה צעק בטל פון ו טען ש זה ג זל למרות שקיבלנו אישור  מאשתו,האשה מאד מנומסת והתנצלה על התקרית."
09/02/2004	3739	הביא ה שו אב א בק וכ שנדרש ה לח תום התחרטה ואמרה לא-
13/02/2004	3740	"רצוי להע לות מחיר התחלת י ,מ ורי דה מהתשלום."
16/02/2004	3746	"לקח מיקר וגל ושילם רק 1 00 ש ""ח ח/ק 701/6 ללא אחריות"
23/02/2004	3747	לקח מגהץ ללא מסיר ת שוב ר ול א ר צה לשלם עבור הבדיקה
29/02/2004	3607	לקחה שני מכש ירים אחרי מס' חוד שים וטלפונים.
08/03/2004	3363	לאחר 10 חודש ים תי קון א חר ו הנח ה גדולה ועוד התלוננה
28/03/2004	3786	"לא ה יה כ דאי לתקן טוסטר ,יצא לא מרוצה,לקוח מאל'בוגדר"
04/04/2004	401	לקוח קמצ ן מצ פה למ חירים נמו כים מאשר רק אחרי הורדה
02/05/2004	3840	לקוח ה נו דניק ית בי ותר 5 0 שאל ות וטענות
04/05/2004	3856	"בקוש י שי למו בדיקת תנור 95 ש""ח למרות שהוכחתי להם"
12/05/2004	3834	"צעקנ ית,ה שתדל נו לע זור ב פקס באח ריות ובכל זאת התלוננה"
13/05/2004	3399	מגיע אחר י הר בה טל פונים והר בה זמן ומתווכח על המחיר
14/05/2004	3057	תמיד מור ידים מחיר ים תי קון אחר לאחר שנה וחצי ומתלונ
17/05/2004	3870	"זהיר ות ! !! מ תווכח ,אשתו צעק נית ,הבת מאיימת !!!"
21/05/2004	3868	"טענה שזה יקר מדי, בעלה התוו כח איתה על זה בטלפון"
28/05/2004	3889	התוו כח ע ל מח יר תי קון ת נור ובס וף הוריד את המחיר
31/05/2004	1017	כל מ חיר נשמע בעינ יהם י קר  
01/06/2004	2003	תמיד מבק ש הנ חה    
02/06/2004	3754	"מודע ות צ רכני ת נמו כה מא ד,""מ ה א בל לא החלפת שום חלק"""
07/06/2004	1543	"יש ל ה זכ ות ש ל 100 ש""ח עבור שו אב בלקס."
08/06/2004	1759	לקוח טוב להז הר לא לעכב מכש יר בתיקון.
10/06/2004	3907	מדבר ת הר בה ה רבה ה רבה ה רבה הרב ה מאד.
13/06/2004	3537	לקוח קצת קשה קנה SS-70 0 מא יתנ ו ותוקן באחריות
01/07/2004	3759	הוכנ ס כל קוח לצורך ידיע ה מו קדמ ת אם הוא מתקשר.
01/07/2004	3931	"לקוח ה מא ד קש ה,ברר נית ו קמצנ ית, שואלת הרבה שאלות."
08/07/2004	3629	"התוו כח ע ל שק יות ל שואב, למה חב' של 10 יח' ?"
11/07/2004	847	להשת דל ל המנע מלהת עסק א יתם  
19/07/2004	3957	"תיקו ן המ גהץ יקר "" לא הח לפת שום חלק"" לא רצה ניקוי"
19/07/2004	3960	התוו כח ה רבה על תי קון מ יקרו גל עצבני רצוי לדבר רגוע.
25/07/2004	3238	"יצאו לא מרוצ ים,חש בו שת יקון המ גהץ כולל מיכל מים."
28/07/2004	1836	"הביא תנו ר לב דיקה לאחר שהתע סק איתו,בסוף לא תיקן אמר שאנחנו רמאים,כדאי להימנע מלהתעסק איתו."
28/07/2004	3889	"הגיע ו שו ב עם קצר והתוו כחו למר ות שהוכחנו שהגו""ח טוב"
28/07/2004	3969	"רצה לקנו ת גו ""ח אמ קור,ה תעצב ן מ המחיר ולקח את הגו""ח"
09/08/2004	3975	התוו כח ה מון על המ חיר ו בסוף הו ריד מחיר תיקון מיקרו
12/08/2004	2547	לקחה מגה ץ ול א שיל מה למ רות הרב ה טלפונים והבטחות
13/08/2004	3256	"רצוי מאד מאד משנה זהיר ות , לקו ח תעשייתי"
20/08/2004	1599	תיקן בפע ם שנ יה את המגה ץ וה תפל א על המחיר
22/08/2004	3974	"התוו כח ע ל מח יר הב דיקה ובסו ף ש ילם רק 25 ש""ח"
25/08/2004	1969	התוו כחה הרבה מאד על המ חיר.  
20/09/2004	4037	מבקש ומת עקש על הנ חות ב כל מ קרה רצוי להיות קשוחים
03/11/2004	4108	תיקן כיר יים חשמלי ות דר ך חנ ן 
17/11/2004	4089	השאי ר מי קרוג ל הרב ה מאד זמן וט לפונים
23/11/2004	3690	לתיק ון ת נור לקחת מפתחו ת אל ן ק טנים
01/12/2004	367	"רצוי להי מנע מלהתע סק אי תו,מ תלו נן על זה שלקחנו בדיקהובסוף לא תיקנו,התעקש שנרכיב המגהץ למרות שלא תקין"
26/12/2004	1969	באה לאחר תקו פת הא חריות עם בעי ה אחרת וא הסכימה לשלםעל בדיקה לבסוף לא השאירה את המכשיר
02/01/2005	4132	"נשאר חוב 30 ש""ח ע ל תיק ון מ גהץ מס' 7166"
12/01/2005	3487	התוו כח ע ל המ חיר נ קב בס כום ולא ויתר                לא רצה לשלם על הביקור.בסוף תוקן במחיר שהוא רצה
17/01/2005	4190	"חזר לה צ 'ק ע ""ס 20 0 ש""ח ,להז הר! ! תשלום רק במזומן!"
19/01/2005	1485	המוה ל חת ן מו יאל    
30/01/2005	4254	התוו כח ע ל המ חיר ש ל תיק ון מ .בש ר והתעקש להוריד.
07/02/2005	4257	"לא ר צה ל תקן מיקרו גל לא היה לו כסף שילם רק 30 ש""ח  עבור בדיקה"
16/02/2005	1033	"תיקן מיק רוגל וצעק על ה מחיר ול א היה מוכן לשלם יותר מ-200 ש""ח ואמר שיותר לא יבוא אלינו."
13/04/2005	654	"לקוח מאד מאד בררן ,פטפט ן וק שקש ן."
13/04/2005	1242	הזמי נו מ כסה לקערה לפוד קנו וד ולא הגיעו לקחת ולא   הודיעו שלא מעוניינים.
13/04/2005	3057	השתו לל ו התפר ע במע בדה ב גלל שהת עכב פין לגוף בשר.
15/04/2005	4354	התוו כח ע ל המ חיר ל מרות שאיש ר ב טלפון ונאלצנו להוריד לו את המחיר.
21/04/2005	1518	כל ת יקון נרא ה לה יקר ו לא מ שתל ם לתקן
05/05/2005	4368	"הביא לתי קון מיקרו גל לא חר ש ניס ה לתקנו ולא הצליח,   לקח אותו ללא תיקון לאחר ויכוחים קשים"
13/05/2005	4426	"תיקן שוא ב אב ק סוק ט כני סה,ה גיע עם חוסר אמון מוחלט  וחשדנות לבסוף יצא משוכנע ששיקרנו אותו ורימינו אותו"
16/05/2005	1617	"תמיד מתו וכח על המ חיר ו רוצה שנ חליף חלקים ישנים     בקיצור,רצוי להזהר מאד ולהגביל בזמן המתנה לתשובה."
16/05/2005	2023	"תמיד מתו וכח על המ חיר,ר צוי מאד לא לקבל ממנו מכשירים לתיקון."
22/05/2005	4447	"מסיר שיע ר הת עכב כ -3 שב ועות עק ב עיכוב מצד און-ליין בהתחלה כעסה,לאחר התנצלות הבינה."
23/05/2005	4447	י דידה שלה הגיע ה לקח ת את המ כשירים והתלוננה על      המחירים ניסינו להסביר אך יצאה מאד לא מרוצה
17/06/2005	4364	מסר מיקר וגל לתיקו ן לא רצה לתק ן ולא הגיע לקחת לאחר פניות טלפוניות רבות.
20/06/2005	1033	"לאחר שאי שר א ת התי קון ב טלפו ן,כ שהגיע לקחת את המכשיר לא רצה לשלם צעק,איים וחטף את המכשיר בכח ללא תשלום"
29/06/2005	1042	"לאחר הרב ה טל פונים לא ה גיע לקח ת את המיקרוגל,נשלחה  התראה."
29/06/2005	3466	לאחר הרב ה טל פונים לא ה גיע לקח ת את המיקרוגל נשלחה  התראה.
29/06/2005	3719	לאחר הרב ה טל פונים לא ה גיעה לק חת את השואב נשלח מכתב התראה ראשונה.
29/06/2005	3858	"קצת תובע נים, חשדני ם וחס רי א ימו ן,לאחר ניקוי מגהץ טפלהוחזר הכסף מכיוון שלא היו מרוצים."
29/06/2005	3997	"לאחר הרב ה טל פונים לא ה גיע לקח ת את המגהץ,נשלח מכתב התראה ראשונה."
29/06/2005	4203	"לאחר הרב ה טל פונים לא ה גיעה לק חת שואב,נשלחה התראה."
29/06/2005	4288	"הורכ ב טו סטר אובן וחייב ת 20 ש"" ח ח/ק 22/6/05,1133/5 לאחר מכן לא רצתה לשלם. לא לקבל מכשירים לתיקון!!!"
30/06/2005	4497	"לקוח טוב מאד , חש וב לע דכן אות ו לפני התיקון"
04/07/2005	2363	הלקו ח הו חתם על מס מך שא ם לא יב וא לקחת את המגהץ הוא מוותר עליו ומפקיר אותו.
06/07/2005	2481	לאחר הרב ה טל פונים נשלח מכת ב ה תראה ב:6/7/05
10/07/2005	2261	היה ויכו ח אי תו לג בי תי קון פקק במגהץ קיטור         לבסוף הוחלף פקק חדש פחות מעלות 60 שח ח/ק 1149/2
12/07/2005	1548	"הגיע לקח ת רק אחרי הרבה טלפ וני ם ומכתב התראה,שילם רק150 ש""ח לאחר הרבה ויכוחים למרות שקיבל הנחה משמעותי"
18/07/2005	4514	לקוח קמצ ן וק שה הת ווכח לפני הת יקון ואחרי התיקון
19/07/2005	4505	"מאד בררן ,חשד ן,מצפ ה למח ירים נמ וכים, רצוי מאד להמנע לקבל ממנו מכשירים לתיקון,עד כמה שניתן."
04/08/2005	786	לקח מיקר וגל לאחר ויכוח ואי ומי ם ושילם רק כמה שרצה  לא לקבל ממנו מכשירים לתיקון בשום פנים ואופן
17/08/2005	3006	משנה זהי רות     
30/08/2005	2439	"הביא ה שו אב ל תיקון לאחר 9 ח ודש ים ועוד התלוננה שלא  יכלה להגיע קודם , הוחלפה רצועה במחיר עלות בלבד"
01/09/2005	3118	"איש ציבו ר בע יריה לשעבר ,מכי ר א ת הרב חזן וגלויברמן  מצפה ליחס מועדף"
23/09/2005	1942	"חייב 20 ש""ח, רצוי באופן קבו ע ל העלות מחיר התחלתי כי הוא תמיד משלם פחות. לא לקבל צ'ק בשום פנים ואופן!"
25/09/2005	1830	"התוו כח ע ל מח יר לת יקון מגהץ קי טור,צריך קצת זהירות !"
25/09/2005	3718	"הביא שוא ב לא חר שנ ה ו-1 0 חו דשי ם והתלונן,לבסוף לא   השאיר את המכשיר."
28/09/2005	4593	"לקוח חול ה מר ותק ל ביתו, לקחנ ו א ת המיקרו מהבית       התווכח על המחיר,טוען שמבין באלקטרוניקה"
23/11/2005	4106	"לקוח קשה ,מתו וכח ע ל המח יר ו לא מוכן להשקיע.         כדאי מאד מאד להתחמק באלגנטיות ולא להתעסק איתו!!!"
24/11/2005	3960	"שוב התוו כח ע ל המח יר,הת עקש ובס וף קיבל את המחיר שרצה"
29/11/2005	4675	"לקוח ה קש ה,בר רנית, חשדני ת,רצ וי לדבר בנחת אך גם בזהיר"
16/12/2005	2547	"שילמ ה 20 0 ש"" ח,165 ש""ח, חוב ישן ו-35 ש""ח ע""ח תיקון  מס' 7924 ח/ק 1271/4"
16/12/2005	4152	"להזה ר מא ד לק וח קש ה ביו תר,ל ווד א שהבין את הפרוצדורה התווכח על המחיר למרות שחתם על הפרוצדורה"
30/12/2005	4747	"הגיע לתק ן יח ' מקצ ץ ירק ות ק נוו ד,ניסינו לעזור לו רצהשנטפל במקום,למרות כל ההשתדלות מצידנו יצא לא מרוצה"
02/01/2006	4745	"לא ת יקן מיקר וגל ט ען על סחט נות מצידנו למרות שהוסבר לו עלויות,המכשיר נזרק באישורו. רצוי משנה זהירות!!!"
04/01/2006	4333	"מסר אספר סו ל תיקון והתע כב א צלי נו הרבה זמן לבסוף לקחאותו ללא תיקון עם מעט כעס , רצוי לתת שירות טוב"
05/01/2006	4733	התוו כח ע ל מח יר הת יקון ובסו ף ה וריד הרבה מהמחיר
09/01/2006	1350	"חייב 250 ש""ח על ת יקון שואב קנ ווד חבית"
11/01/2006	4541	יש ל ו אח טכנ אי בנ תיבות וכל תי קון נראה לו יקר מדי
13/01/2006	4765	"לקוח קשה , ל אחר ש הסכים לתק ן ע ד 200 ש""ח לא היה מוכןלתקן ב-163 ש""ח ובסוף אישר את התיקון"
15/01/2006	4686	"לאחר שאי שר ת יקון מגהץ, לא ה גיע לקחת ובבירור טלפוני אמר שהוא מוותר על המכשיר."
16/01/2006	2075	"לקוח מאד חשד ן,שוא ל המו ן שא לות חושב שמבין הרבה     רצוי לחתוך איתו עניינים גם במחיר ויתור על תיקון !"
16/01/2006	4083	"הלקו ח המ בוגר עם ה קוקו, חושב שמ גיע לו הכל,הגיע לאחר שנה וטען שלא הפעיל את המיקרוגל מאז שנלקח מהתיקון"
19/02/2006	4135	מתעכ ב מא ד במ שיכת המכשי רים לאח ר תיקון וגם מתווכח עלהמחיר
20/02/2006	4827	התעק שה ל הורי ד מחי ר על תיקו ן ת נור ובסוף קיבלה הנחה מאד משמעותית
21/02/2006	4819	"מסר שואב לתי קון,ל א רצה לתק ן ו אשתו הפצירה מאד לוותרעל עלות הבדיקה,בסוף שילמה.לוודא שהבינו פרוצדורה!"
26/02/2006	3677	"רצוי לא להתע סק אי תו,הת לונן על שגו""ח גריל התפורר לאחר שנה ו4 חודשים,שלח פקסים וטען""חוצפנים,בושה"" וכו'"
28/02/2006	3388	"לא ל קחה מגהץ לאחר תיקו ן,הר בה טלפונים ומכתב רשום   לאחר כחצי שנה נגרט לחלופי"
03/03/2006	4776	"אסור !!! להתע סק אי תו ול א לק בל תיקונים,תיקן מיקרוגל ושילם רק 150 שח ללא אחריות לאחר חודשיים בא איים וצ"
06/03/2006	4573	"חייב ים ע וד 6 0 ש""ח עבור כפת ורי ם לתנור"
09/03/2006	4801	לא ל קבל ממנו מכשי רים ! !! א לים צועק ומאיים
04/04/2006	4890	"מאד חשדנ ית,ק פדנית ,ביקש ה לר אות את החלק המוחלף      טענה שיש שריטות במכשיר,לבדוק טוב לפני קבלת מכשיר!!"
23/04/2006	4915	קצת חשדנ ית-ב יקשה לראות את החל ק המקולקל
30/04/2006	672	"זהיר ות ר בה ב מיוחד ,לא ל בצע עבו דה ללא תשלום מראש!!! הגיעה לשלם רק לאחר המון טלפונים ואיום בפניה לערכאו"
01/05/2006	823	"מאד קפדנ ית,ק שה,בר רנית ועקש נית -משנה זהירות !!!"
02/05/2006	4664	"רצוי לא להתע סק,הת ווכח על ה מחי ר,הוריד באופן משמעותיובסוף לא הגיע לקחת גם לאחר מכתב התראה וטלפונים"
08/05/2006	4931	"לאחר שאי שר א ת התי קון,כ שהגי ע ל קחת,התווכח ולא ויתר  עד שקיבל הנחה,רצוי להעלות מחיר התחלתי ולוודא שהבין"
19/05/2006	3396	"חייב ת 11 9 ש"" ח עבו ר תיק ון מ גהץ כ.ת.8826"
21/05/2006	3834	לווד א שה בינו פרוצ דורה והצע ת מ חיר למנוע אי נעימויות
22/05/2006	3248	"לא ל קבל ממנו שום מכשיר ,ולא לה תעסק איתו בכלל !!!!!!"
25/05/2006	4973	"לא ל קבל ממנו שום מכשיר ,השת ולל במעבדה צעק והתפרע   להתחמק באלגנטיות"
29/05/2006	4978	לא ל קבל ממנו תיקו נים!! ! הת פרע במעבדה-חייב עוד 28שח
30/05/2006	2439	מתעכ בת מ אד ב לקיחת מכשי ר לא חר תיקון!
12/06/2006	5005	"כעסה על שגבי נו עב ור בד יקת מגה ץ 45 ש""ח,צעקה ואיימה להעביר תלונה הלאה,רצוי מאד לא להתעסק איתם !"
16/06/2006	4434	מאד מאוכ זבת מתיקו נים ח וזרי ם ל אחר תקופת האחריות
21/06/2006	4612	"לא ש ילם בדיק ת מיק רוגל, לאחר תי קון סלקטור גו""ח מקוצרכעס ולא רצה לתקן."
23/06/2006	2354	"לומר לו ""בכל פעם שתיקנ ת אצ לינ ו תמיד היו לך תלונות וטענות אולי כדאי שתתקן במקום אחר?"""
07/07/2006	5043	יצא לא מ רוצה ממחי ר של תיקו ן מ יקרוגל.
10/07/2006	4968	"השאי רה פ ה מכ שיר ח ודשיי ם וח ייב ת עבור הבדיקה 45 ש""ח"
11/07/2006	418	"מצפה למח ירים מאד נמוכי ם,תמ יד מתווכחת על המחיר     רצוי מאד להתחמק מלקבל ממנה מכשירים לתיקון"
18/07/2006	4751	משנה זהי רות! חושב ת שהכ ל מג יע לה
09/08/2006	4703	הביא ו מי קסר לתיקו ן לאח ר 8 חוד שים ושאלו למה צריכים לשלם שוב.- דרוש משנה זהירות !!
11/08/2006	4929	זהיר ות ! ! לא הגיע ה לקח ת מי קרו גל לאחר 4 חודשים ורק לאחר עשרות טלפונים ומשלוח אליה הביתה
31/08/2006	2234	"חייב ת עו ד 93 ש""ח    "
07/09/2006	1941	"לאחר שאי שרה תיקון מיקר וגל והת יקון בוצע התחרטה,לכן חשוב לקחת ממנה לפני כל תיקון לפחות %50 מהתיקון"
29/09/2006	4035	לא ר צה ל שלם עבור בדיקה רצו י ל א להתעסק איתו
04/10/2006	4983	לא ל קבל שום מכשיר לתיק ון ל לא תשלום %50 בערך מעלות התיקון
04/10/2006	5042	"זהיר ות ! ! לו ודא ש הבין טוב טוב פרוצדורה,ולוודא היטבשהבין את המחיר בהצעת מחיר!"
01/11/2006	5202	"קיבל ה שר ות ל א טוב בחבר ה,מצ פה לשירות אדיב"
07/11/2006	4562	לקוח קצת קשה     
30/11/2006	5220	"חייב ת עו ד 25 ש""ח    "
19/12/2006	5292	בודק ת ומ שווה עלוי ות בח ברה  
04/01/2007	2859	"צעקנ ית,מ וריד ה במח יר ומ תלונ נת- רצוי מאד לא לקבל ממנהמכשירים לתיקון"
08/01/2007	2839	"דודה של איתן מחלת הארץ ,מצפ ה ל יחס מועדף"
15/01/2007	5226	"לא ה גיע לקחת מיקר וגל ל אחר המו ן טלפונים,ביקש לשלוח לרח' יריחו 6/4 תמורת 20 ש""ח"
17/01/2007	4955	"לא מ רוצה מהמ חירים ,לא מ עריך הנ חות מצפה למחירי ריצפהלוודא טוב טוב שמאשר את התיקון."
15/02/2007	3240	"חייב 55 ש""ח עבור בדיקת מיק רוג ל שלא רצה לתקן,מתוייק בלקוחות מיוחדים"
19/03/2007	5366	"יצאה מאד לא מרוצה עקב עיכו ב ג דול בתיקון שואב,רצוי מאד להשתדל לתקן רושם חיובי."
30/03/2007	5272	הביא ו מי חם ל תיקון ולא רצו לקח ת אותו בכעס על המחיר
13/04/2007	5414	"מאד בררן ,חשד ן,שוא ל הרב ה שא לות .חשוב ביותר !! לוודא שהבין פרוצדורה,חתימה,וכו', ואולי גם לקחת על חשבון."
06/05/2007	5490	"לאחר שאי שר ת יקון המגהץ בטל פון ,כשהגיע לקחת את המגהץטען שאנחנו יקרנים"
08/05/2007	504	"יש א צלינ ו שו אב סי מנס ל הח' מנו ע שעדיין לא תוקן.    תיקן מיחם ע""ס 195 ש""ח ולא שילם עד שיתוקן השואב."
13/05/2007	4927	לא ל קבל שום תיקון לפני תשל ום מראש !!!
18/05/2007	5497	"השאי ר מג הץ ה מון ז מן,רצ וי ל קחת ע""ח ולהקטין זמן הסרת אחריות"
21/05/2007	4086	"מ.שי ער ת וקן באון ליין ב:15 /5/ 07 ק.שירות 89/072915 חוייבתי 50 ש""ח תיקון גיר נמסר ללקוח ב:24/5/07"
18/06/2007	4688	"מאד מאד בררן וחשד ן,שוא ל חו קר ויורד לפרטים,זהירות!!לא להתעסק איתו בכלל!!!"
21/06/2007	4372	"לקוח קשה ,לאח ר שאי שר תי קון מגה ץ התחרט,משנה זהירות  לפני כל עסקה או קבלת מכשיר לתיקון,רצוי לקחת ע""ח"
25/06/2007	2782	"לקוח מאד בעי יתי,כ עס מא ד על יו קר התיקון בשואב,העליבופגע דרך הטלפון,אמר שיותר לא יבוא,רצוי משנה זהירות"
27/06/2007	5541	"לאחר החל פת כ בל ות יקון סוקט כנ יסה התקלקל הגוף חימוםהתחתון,כעסו על שדרשנו 120 ש""ח על הגו""ח ולא תיקנו"
28/06/2007	3038	"לשעב ר מא בטח בבנק בינלא ומי, מצפ ה למחירים נמוכים"
12/07/2007	930	"צ'ק חזר, שילמ ה,רצו י זהי רות ורק מזומן ולהבהיר עלות  ביקור,יש להעדיף תיקונים אחרים וללכת רק אם יש זמן!"
16/07/2007	5545	לא ת יקן גיר במיקס ר קנו וד ב גלל המחיר הגבוה
03/08/2007	790	יצאו מאו כזבי ם ממח יר הת יקון של המיקרוגל לאחר שאישרו
05/08/2007	2871	"התוו כח ה רבה על המ חיר,כ דאי להב היר שלא יהיו ויכוחים על המחיר והצעת מחיר/ביקור עולה כסף"
15/08/2007	5595	טען שאנח נו י קרנים מכיו ון ש אנח נו יחידים באיזור     התווכח הרבה על המחיר
19/08/2007	5574	"שלח את ח בני מיכל לשלם וחזר לה צ'ק לקחת ע""ח ולדאוג לתשלום במזומן בלבד !!"
23/09/2007	5618	לא ר צה ל תקן מיחם ולא ר צה ל שלם בדיקה
17/10/2007	2965	הגיע לקח ת את המגה ץ לאח ר 3 חוד שים ומס' טלפונים
18/10/2007	5707	לפי התרש מות שלי א שתו מ צפה למח יר נמוך
25/10/2007	5355	"נאמר להם שתו ך שבו ע המג הץ י יזר ק,נזרק לפח ב:24/12/07לא שילמו עבור בדיקה 55 ש""ח"
30/10/2007	5705	"התחר ט על תיק ון מג הץ לא חר ש איש ר טען שאנחנו יקרנים  סחטנים ולא ישרים, רצוי לא לקבל או משנה זהירות !!!"
31/10/2007	5697	"חייב 19 ש""ח, הוצאה חשבו נית, לא הגיע לקחת לאחר שאישר"
31/10/2007	5705	הודנ ו טל פוני ת שהמ שפך נ שאר אצל ינו הגב' צעקה ואמרה  שנשאיר אותו אצלינו הבהרנו שלא יותר מ-14 יום
09/11/2007	5723	לקוח מאד פיי דנט ר צוי מ אד ל עמו ד בזמנים
12/11/2007	5730	"לקוח מאד פיי דנט,ר צוי ש ים ל ב ל פרטים הקטנים כולל הכלאפילו ניקוי חיצוני של המכשיר"
14/11/2007	5540	"חייב 55 ש""ח עבור בדיקת מגה ץ "
16/11/2007	1505	משפח ה של אופ יר מש ריג א לקטר יק. מצפה למחירים נמוכים.
21/11/2007	5565	לקוח טוב מאד     
23/11/2007	5755	"משנה זהי רות, הזמינ ה תיק ון ל תנו ר,התווכחה על המחיר   לא רצתה לשלם ביקור ובסוף התחרטה ותיקנה."
05/12/2007	5773	"חייב ת 90 ש""ח .מתוו כחים על ה מחי ר,מצפים למחירים זוליםמשנה זהירות בכל הפרטים !!!"
18/12/2007	5779	"חייב 49 ש""ח     "
23/12/2007	4967	"קרה איתו קטע לא נ עים,י ושרו הה דורים כדאי להיות אדיבאך גם זהיר בפרוצדורה."
23/12/2007	5788	"יצא מאד מרוצ ה מהש ירות, כדאי לש מור על רושם חיובי!"
25/12/2007	5813	טכנא י מ. כביס ה    
26/12/2007	5652	"רצו לתקן מיק רוגל לתיקו ן וה תחר טו,לא רצו לשלם בדיקה"
28/12/2007	5816	"מצפה למח ירים נמוכ ים,וכ נראה יב קש הנחה"
02/01/2008	5819	"לא ל קבל ממנו שום מכשיר בשו ם פ נים ואופן!!!         לקח מיקרוגל ולא רצה לשלם אפילו עבור בדיקה 55 ש""ח"
07/01/2008	919	"רק ל ידיע ה לא לשלי לה,לא היה מע וניין לתקן מיקרוגל   הגיע לאחר זמן לשלם עבור הבדיקה וויתר על המכשיר"
08/01/2008	5816	"בא ל קנות מפס ק למי חם וי צא מ אד כועס,יקר,רמאים ""יותר  לא אבוא לכאן"""
25/01/2008	5818	"חייב 25 ש""ח, לקח מ יקרוג ל לא חר הרבה זמן וטלפונים"
03/02/2008	5867	סוכן פינ יש ר יהוט בתי כ נסת  
11/02/2008	5247	"חייב 55 ש""ח עבור בדיקת מגה ץ ק יטור כ.ת.10581"
18/02/2008	1428	"כדאי עד כמה שניתן לא ל התעס ק א תם,בעלה צעקן"
